,ދާއިރާ 1: ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުން –  (ލީޑިންގ ޓީޗަރ/ އެމްބެސެޑަރ) ,,,,,,,,,
indicatorCode,IndicatorScore,ސުވާލުކުރާނެ ފަރާތް,Comment ,ބަލާނެ ލިޔެކިޔުން,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,1,ސެން އެލްޓީ,,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ, ޕީޑީ ރެކޯޑު، ސެޓްފިކެޓު",1- ޓެކްނިކަލް މުވައްޒަފުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
2,1,ސެން އެލްޓީ,,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ",2- އިދާރީ މުވައްޒަފުން އަހުލުވެރިކުރޭ,,,,,
3,1,ސެން އެލްޓީ,,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ",3- ސަޕޯޓް ސްޓާފުން އަހުލުވެރިކުރޭ,,,,,
4,1,ސެން އެލްޓީ,,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ",4- ފަންނީ މުވައްޒަފުން ތަމްރީނުކޮށްފައި ވޭ,,,,,
5,1,ސެން އެލްޓީ,,"- މުދައްރިސުންގެ ސުވާލުކަރުދާހަށްލުމަށް
- އެސްއެމްޓީ މެންބަރުންނާ ސުވާލުކުރުން ",5- ސެން މުދައްރިސުންގެ ފަންނީ ލަފާ، މެއިންސްޓްރީމް ޓީޗަރުންނަށް ލިބޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,,,,,
6,1,ސެން އެލްޓީ,,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",1- މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުމުގެ ސިޔާސަތު ސްކޫލް ހިއްސާވާ  ފަރާތްތަކާ ހިއްސާކުރުން,1.1.2.1,ހޭލުންތެރިކުރުން,1.1.2,
7,1,ސެން އެލްޓީ,,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",2- ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,,,,,
8,1,ސެން އެލްޓީ,,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",3- ދަރިވަރުންނާ ހިއްސާކޮށްފައި ވޭ,,,,,
731,1,ސެން އެލްޓީ,,,1- މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ރެފަރަލް ޕްރޮސީޖަރ ތައްޔާރުކުރުން,1.1.2.2,,,
732,1,ސެން އެލްޓީ,,,2- ބެލެނިވެރިންނާ އަހުލުވެރިކޮށްފައި ވޭ,,,,,
733,1,ސެން އެލްޓީ,,,3- ރެފަރަލް ޕްރޮސީޖަރ ތަންފީޒުކުރަމުން ދޭ,,,,,
