BD,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
457,1- މިޝަންއާއި ވިޝަން ދިވެހިބަހުން ލިޔެފައި ވޭ, ސްކޫލުގެ މިޝަންއާއި ވިޝަން ކަނޑައަޅައި އާންމުކުރުން,5.1.1.1, ސްކޫލުގެ މިޝަންއާއި ވިޝަން ކަނޑައެޅުން,5.1.1,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
458,2- މިޝަންއާއި ވިޝަން އިނގިރޭސިބަހުން ލިޔެފައި ވޭ, ސްކޫލުގެ މިޝަންއާއި ވިޝަން ކަނޑައަޅައި އާންމުކުރުން,5.1.1.1, ސްކޫލުގެ މިޝަންއާއި ވިޝަން ކަނޑައެޅުން,5.1.1,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
459,3- މިޝަންއާއި ވިޝަން އާންމުކޮށް ފެންނާނެހެން ހުރޭ, ސްކޫލުގެ މިޝަންއާއި ވިޝަން ކަނޑައަޅައި އާންމުކުރުން,5.1.1.1, ސްކޫލުގެ މިޝަންއާއި ވިޝަން ކަނޑައެޅުން,5.1.1,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
460,1- ތައްޔާރުކުރުމުގައި ހިއްސާވާ ފަރާތްތަކުގެ ޚިޔާލު ހޯދައިފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކުރުން,5.1.2.1,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
461,2- ޙާޞިލުކުރަން ބޭނުންވާ ކަންކަން ސްޓްރެޓީޖިކް ޕްލޭނުގައި ކަނޑައަޅައިފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކުރުން,5.1.2.1,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
462,3- ސްޓްރެޓީޖިކް ޕްލޭން 3 އަހަރު ދުވަހުގެ މުއްދަތަށް ހަދައިފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކުރުން,5.1.2.1,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
463,1- ސްޓްރެޓީޖިކް ޕްލޭން މުދައްރިސުންނާ ހިއްސާކޮށްފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ހިއްސާކުރުން,5.1.2.2,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
464,2- ސްޓްރެޓީޖިކް ޕްލޭން އެހެނިހެން މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ހިއްސާކުރުން,5.1.2.2,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
465,3- ސްޓްރެޓީޖިކް ޕްލޭން ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ހިއްސާކުރުން,5.1.2.2,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
466,1- ސްޓްރެޓީޖިކް ޕްލޭން ތަންފީޒުކުރެވޭ މިންވަރު މޮނީޓަރކުރޭ, ސްޓްރެޓީޖިކް ޕްލޭން ތަންފީޒުކުރުން ,5.1.2.3,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
467,2- ހާލަތަށް ރިއާޔަތްކޮށް ސްޓްރެޓީޖިކް ޕްލޭން މުޠާލިޔާކުރޭ, ސްޓްރެޓީޖިކް ޕްލޭން ތަންފީޒުކުރުން ,5.1.2.3,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
468,3- ސްޓްރެޓީޖިކް ޕްލޭނަށް ގެނެވުނު ބަދަލުތައް ކަމާ ގުޅޭ ފަރާތްތަކަށް ހިއްސާކޮށްފައި ވޭ, ސްޓްރެޓީޖިކް ޕްލޭން ތަންފީޒުކުރުން ,5.1.2.3,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
469,1-  ޙާސިލުކުރެވޭފަދަ އެކަޑަމިކް ލަނޑުދަނޑިތައް ކަނޑައަޅައިފައި ވޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
470,2- ޙާސިލުކުރެވޭފަދަ ކޯކަރިކިއުލާ ލަނޑުދަނޑިތައް ކަނޑައަޅައިފައި ވޭ,އަހަރު ތެރޭގައި ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3.1,ދިރާސީ އަހަރު ޙާޞިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ކަނޑައެޅުން,5.1.3,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
