,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް (ސްކޫލުގެ އެކިއެކި ކަންކަމާ ގުޅޭ),,,,,,,
,ލީޑިންގ ޓީޗަރ: ޝީޓް  2- (އެކި އެކި ލީޑިން ޓީޗަރުންގެ ފަރާތުން ހޯދާ މަޢުލޫމާތުގެ މައްޗަށް ބިނާކޮށް ޓީމުން ގޮތް ނިންމުން),,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
38,1,އެކަން އެނގޭ ލިޔުމެއް/ ޔައުމިއްޔާ/ޕީޕީޓީ,1- ދިމާވާ ހާލަތެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ ގޮތެއް ހަމަޖައްސައިފައި ވޭ, ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
39,1,ފޯރުކޮށްދޭކަން އެނގޭ ހެއްކެއް/ ނަގައިދިން ފިލާވަޅު އެނގޭ ލިޔުމެއް ,2- ދާއިމީ ނުކުޅެދުންތެރިކަމެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ތަޢުލީމު ފޯރުކޮށްދޭ , ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
55,1,ސްކޫލުން ކަނޑައަޅާފައިވާ އުސޫލު,1- ދަރިވަރުންގެ ލީޑަރޝިޕާ ގުޅޭ ކަންކަން ރޭވުމުގައި ދަރިވަރުން ބައިވެރިކުރުމާ ގުޅޭ އުސޫލެއް އޮވޭ, އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ދަރިވަރުންނަށް ހޯދައިދިނުން,1.5.1.1,އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ހޯދައިދިނުން ,1.5.1,ފެންވަރު 1.5: އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުޞަތު
57,1,ހޯދައިދޭކަމުގެ ހެއްކެއް/އެސްއޯޕީ,3- އުނގެނުމުގައި ޚާއްޞަ އެހީއަށް ބޭނުންވާ ދަރިވަރުންނަށް ޙަރަކާތްތަކުގައި އިސްދައުރެއް އަދާކުރުމުގެ ފުރުސަތު ދޭ, އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ދަރިވަރުންނަށް ހޯދައިދިނުން,1.5.1.1,އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ހޯދައިދިނުން ,1.5.1,ފެންވަރު 1.5: އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުޞަތު
67,1,އެލްޓީ މެނުއަލް(ލިޔެފައި އޮންނަ އުސޫލެއް),1- މުދައްރިސުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވޭ ,ފަންނީ މުވައްޒަފުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވުން,2.1.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
73,1,އުސޫލު/ފޯރުކޮށްދިނުމަށް ހަމަޖައްސައިފައިވާ ނިޒާމް ,1- އެކި އެކި ސަބަބުތަކާހުރެ ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ހަމަޖައްސައިފައި ވޭ,ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ޤާއިމުކޮށްފައި ވުން ,2.1.1.3,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
74,1,އުސޫލު/ކްލާސް ނަގައިދިނުމަށް ހަމަޖައްސައިފައިވާ ނިޒާމް ,2- ޓައިމްޓޭބަލްކޮށްފައިވާ ގަޑިތަކުގެ ތެރެއިން ތަފާތު ސަބަބުތަކާހުރެ ނަގައިނުދެވޭ ގަޑިތައް ނަގައިދޭނެ ވަކި އުސޫލެއް ހަމަޖައްސައިފައި ވޭ,ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ އުސޫލެއް ޤާއިމުކޮށްފައި ވުން ,2.1.1.3,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
