,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ޖެނެރަލް,,,,,,,
,ލިޓްރަސީ ނިއުމަރަސީ -  އިންޗަރޖް ލީޑިން ޓީޗަރ,,,,,,,
IndicatorCode,Score,ބަލާނެ ލިޔެކިޔުން,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
119,1,ދަރިވަރުންގެ ލިސްޓާއި ޑައިގްނޯސްޓިކް ޓެސްޓު ނަތީޖާ,1- ދިރާސީ އަހަރު ފެށޭއިރު ދިވެހިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން  ދެނެގަނެ ލިސްޓް ސްކޫލުން ތައްޔާުރުކުރޭ,ދިރާސީ އަހަރު ފެށޭއިރު  ދަރިވަރުން ޑައިގްނޯޒްކުރުމަށް ފަހު ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީގެ ހާލަތު ދެނެގަތުން ,2.1.5.1,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
120,1,ދަރިވަރުންގެ ލިސްޓާއި ޑައިގްނޯސްޓިކް ޓެސްޓް ނަތީޖާ,2- ދިރާސީ އަހަރު ފެށޭއިރު އިނގިރޭސިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން ދެނެގަނެ ލިސްޓް ސްކޫލުން ތައްޔާުރުކުރޭ,ދިރާސީ އަހަރު ފެށޭއިރު  ދަރިވަރުން ޑައިގްނޯޒްކުރުމަށް ފަހު ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީގެ ހާލަތު ދެނެގަތުން ,2.1.5.1,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
121,1,ދަރިވަރުންގެ ލިސްޓާއި ޑައިގްނޯސްޓިކް ޓެސްޓް ނަތީޖާ,3- ދިރާސީ އަހަރު ފެށޭއިރު ހިސާބު ޢިލްމުގެ ހުނަރުތައް ނޭނގޭ ދަރިވަރުން ދެނެގަނެ ލިސްޓް ސްކޫލުން ތައްޔާުރުކުރޭ,ދިރާސީ އަހަރު ފެށޭއިރު  ދަރިވަރުން ޑައިގްނޯޒްކުރުމަށް ފަހު ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީގެ ހާލަތު ދެނެގަތުން ,2.1.5.1,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
122,1,ހިންގާ ހަރަކާތްތަކުގެ ލިޔެކިޔުންތައް (ލިސްޓް/ފައިލް/ޝެޑިއުލް),1- ދިވެހިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުންނަށް ރާވައިގެން ހަރަކާތްތަކެއް ހިންގާ,ލިޓްރަސީ ނިއުމަރަސީގެ ހުނަރު ތަރައްގީކުރުމަށް ރާވައިގެން ހަރަކާތްތައް ހިންގުން,2.1.5.2,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
123,1,ހިންގާ ހަރަކާތްތަކުގެ ލިޔެކިޔުންތައް (ލިސްޓް/ފައިލް/ޝެޑިއުލް),2- އިނގިރޭސިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުންނަށް  ރާވައިގެން ހަރަކާތްތަކެއް ހިންގާ ,ލިޓްރަސީ ނިއުމަރަސީގެ ހުނަރު ތަރައްގީކުރުމަށް ރާވައިގެން ހަރަކާތްތައް ހިންގުން,2.1.5.2,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
124,1,ހިންގާ ހަރަކާތްތަކުގެ ލިޔެކިޔުންތައް (ލިސްޓް/ފައިލް/ޝެޑިއުލް),3- ހިސާބު ޢިލްމުގެ ހުނަރުތައް ނޭނގޭ ދަރިވަރުންނަށް ރާވައިގެން ހަރަކާތްތަކެއް ހިންގާ,ލިޓްރަސީ ނިއުމަރަސީގެ ހުނަރު ތަރައްގީކުރުމަށް ރާވައިގެން ހަރަކާތްތައް ހިންގުން,2.1.5.2,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
126,1,ކުރިއަރަމުންދާ މިންވަރު ފެންނަ ލިޔެކިއުންތައް ,2- ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު މޮނީޓަރކޮށް ބަލަހައްޓާ,ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ ތަންފީޒުކުރުން,2.1.5.3,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
127,1, ޔައުމިއްޔާ /ހާޒިރީ / ހިއްސާކުރުމަށް ތައްޔާރުކުރި އެސެސްމެންޓް ރިކޯޑް ޝީޓް ,3- ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ ތަންފީޒުކުރުން,2.1.5.3,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
