,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ޖެނެރަލް,,,,,,,
,,,,,,,others,
IndicatorCode,Score,ބަލާނެ ލިޔެކިޔުން,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
438,1,ޕީޓީއޭ ލިސްޓް,1- އަސާސީ ޤަވާޢިދާ އެއްގޮތަށް ޕީޓީއޭ އެކުލަވައިލާ,ޕީޓީއޭގެ ހަރަކާތްތައް ރާވައި ހިންގުން,4.1.1.3,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
439,1,ޕީޓީއޭ އެކްޓިވިޓީ ޕްލޭން/ޕީޓީއޭ ޔައުމިއްޔާ,"2- ޕީޓީއޭގެ ހަރަކާތްތައް ހިންގާ, ޕީޓީއޭގެ ލިޔެކިއުންތައް އަދާހަމަކޮށް ބަލަހައްޓާ",ޕީޓީއޭގެ ހަރަކާތްތައް ރާވައި ހިންގުން,4.1.1.3,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
440,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,3- ޕީޓީއޭގެ އަސާސީ ޤަވާޢިދަށް ބެލެނިވެރިން އަހުލުވެރިކުރުވާ,ޕީޓީއޭގެ ހަރަކާތްތައް ރާވައި ހިންގުން,4.1.1.3,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
509,1,- އިންތިޒާމު (ގޫގުލް ޑްރައިވް/ސަރވަރ/ޝެއަރޑް ފޯލްޑަރ),2- މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ފަސޭހައިން ފެންނާނެހެން ހުރޭ,މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކޮށް އަހުލުވެރިކުރުން,5.2.2.3,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
526,1,އެސް އައި ފޯމް,1- ވޭތުވެ ދިޔަ   އަހަރު ގުރޭޑު 10 ނިންމި ދަރިވަރުންގެ ތެރެއިން އޯލެވެލްގެ 3 މާއްދާ އާއި އެސްއެސްސީގެ 2 މާއްދާއިން މަދުވެގެން %60 ދަރިވަރުން ފާސްވެފައި ވޭ,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7.1,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7,ފެންވަރު 5.2: އިދާރީ ހިންގުން
527,1,އެސް އައި ފޯމް,2- ވޭތުވެ ދިޔަ  އަހަރު ގުރޭޑު 12 ނިންމި ދަރިވަރުންގެ ތެރެއިން އޭލެވެލް 2 މާއްދާ އާއި އެޗްއެސްސީގެ 1 މާއްދާއިން މަދުވެގެން %80 ދަރިވަރުން ފާސްވެފައި ވޭ,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7.1,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7,ފެންވަރު 5.2: އިދާރީ ހިންގުން
528,1,އެސް އައި ފޯމް,3- ވޭތުވެ ދިޔަ އަހަރު ސްކޫލުން އަންދާޒާކުރި ނަތީޖާ ޙާޞިލުވެފައި ވޭ,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7.1,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7,ފެންވަރު 5.2: އިދާރީ ހިންގުން
