,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - އިދާރީ ކަންކަމާ ގުޅޭ,,,,,,,,,
IndicatorCode,Score,ސުވާލުކުރާނެ ފަރާތް,Evidence,General Observation,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
356,1,އެޑްމިނިސްޓްރޭޓަރ,,ސްކޫލުގެ އިމާރާތްތަކާއި ވަޞީލަތްތައް ,1- އިމާރާތްތަަކަކީ ދަރިވަރުންނާއި މުވައްޒަފުންނަށް ރައްކާތެރި ތަންތަންކަން ކަށަވަރުކުރޭ,އިމާރާތްތަކުގެ ރައްކާތެރިކަން ކަށަވަރުކުރުން,3.2.1.1,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
358,1,އެޑްމިނިސްޓްރޭޓަރ,ސެކިއުރިޓީ އެއްބަސްވުން,,3- ސެކިއުރިޓީ ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސާފައި ވޭ,އިމާރާތްތަކުގެ ރައްކާތެރިކަން ކަށަވަރުކުރުން,3.2.1.1,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
359,1,އެޑްމިނިސްޓްރޭޓަރ,އެފަދަ މައްސަލަ ހައްލުކުރުމަށް ކޮށްފައިވާ މުއާމަލާތްތަކުގެ ލިޔެކިޔުންތައް,ސްކޫލުގެ ގޯތިތެރެއާއި އިމާރާތްތަކާއި ވަޞީލަތްތައް,1- މަދިރި ފަދަ ސޫފާސޫފިތަކުން ސްކޫލް މާހައުލު ރައްކައުތެރިކުރޭ,ސްކޫލް ގޯތިތެރޭގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން ,3.2.1.2,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
363,1,އެޑްމިނިސްޓްރޭޓަރ,,އައުޓްޑޯ އޭރިއާ ,2- އައުޓްޑޯ އޭރިއާ މަރާމާތުކޮށް ބަލަހައްޓާ,ފައުންޑޭޝަން ދަރިވަރުންގެ އައުޓްޑޯ އޭރިއާގެ ރައްކައުތެރިކަން ކަށަވަރުކުރުން ,3.2.1.3,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
376,1,އެޑްމިނިސްޓްރޭޓަރ,އެގްރިމެންޓް,,3- ރައްކާތެރިކަމާއެކު ކުނި ނައްތާލެވޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,ސްކޫލް ގޯތިތެރެ ސާފުތާހިރުކޮށް ބެލެހެއްޓުން,3.2.1.7,ރައްކާތެރި މާހައުލެއް ޤާއިމުކުރުން,3.2.1,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
391,1,އެޑްމިނިސްޓްރޭޓަރ,,ބޯފެން ފޯރުކޮށްދިނުމުގެ އިންތިޒާމް,1- ރައްކައުތެރި ބޯފެން ލިބެން ހުރޭ,ރައްކާތެރި ބޯފެން ފޯރުކޮށްދިނުން,3.4.1.1,ފެނާއި ފާޚާނާގެ ނިޒާމު ޤާއިމުކުރުން,3.4.1,ފެންވަރު 3.4: ވޯޓަރ، ސެނިޓޭޝަން އެންޑް ހައިޖިން (ވޮޝް) 
393,1,އެޑްމިނިސްޓްރޭޓަރ,,ބޯފެން ފޯރުކޮށްދިނުމުގެ އިންތިޒާމް,3-  ބޯފެނުގެ ރައްކައުތެރިކަން ކަށަވަރުކުރޭ,ރައްކާތެރި ބޯފެން ފޯރުކޮށްދިނުން,3.4.1.1,ފެނާއި ފާޚާނާގެ ނިޒާމު ޤާއިމުކުރުން,3.4.1,ފެންވަރު 3.4: ވޯޓަރ، ސެނިޓޭޝަން އެންޑް ހައިޖިން (ވޮޝް) 
611,1,އެޑްމިނިސްޓްރޭޓަރ,ސީއެސް ވިއުގަ ( 3 ލީޑިންޓީޗަރުން،3 އެޑްމިން ސްޓާފް، ޑެޕިއުޓީ ޕްރިންސިޕަލް،3 ޓީޗަރުން، 3 ޓެކްނިކަލް),,2- ޓާގެޓު ޙާޞިލުވަމުންދާ މިންވަރު ރެކޯޑުކޮށް މަހުން މަހަށް އެޕްރައިޒްކުރޭ,މުވައްޒަފުންގެ އެޕްރައިޒަލް ފުރިހަމަކުރުން,5.5.2.3,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
612,1,އެޑްމިނިސްޓްރޭޓަރ,,ސީއެސް ވިއުގަ ޗެކުކުރުން,3- ކޮންމެ އަހަރެއްގެ އެޕްރައިޒަލް ކަނޑައަޅައިފައިވާ މުއްދަތުގެ ތެރޭގައި ނިންމާ ރިޕޯޓުތައް ތައްޔާރުކުރޭ,މުވައްޒަފުންގެ އެޕްރައިޒަލް ފުރިހަމަކުރުން,5.5.2.3,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
613,1,އެޑްމިނިސްޓްރޭޓަރ,ޕަރސަނަލް ފައިލް [ 2 ލީޑިންޓީޗަރުން، 2 އެޑްމިން ސްޓާފް، ޑެޕިއުޓީ ޕްރިންސިޕަލް، 4 ޓީޗަރުން (2 ބިދޭސީން އަދި 2 ދޭސީން)، 2 ޓެކްނިކަލް، 2 ސަޕޯޓް ސްޓާފުން އަދި އިތުރު މަސްއޫލިއްޔަތުތައް  ހަވާލުކޮށްފައިވާ ފަރާތްތައް (ލިއޭޒަން އޮފިސަރު، ޕީޑީ ކޯޑިނޭޓަރު ފަދަ) ],,1- މުވައްޒަފުންގެ ޕާރސަނަލް ފައިލްތައް ތައްޔާރުކޮށްފައި ވޭ,މުވައްޒަފުންގެ ޕާރސަނަލް ފައިލްތައް އަދާހަމަކުރުން,5.5.2.4,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
