IndicatorCode,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
1,1- ޓެކްނިކަލް މުވައްޒަފުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
2,2- އިދާރީ މުވައްޒަފުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
3,3- ސަޕޯޓް ސްޓާފުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
4,4- މުދައްރިސުން ތަމްރީނުކޮށްފައި ވޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
5,5- ސެން މުދައްރިސުންގެ ފަންނީ ލަފާ، މެއިންސްޓްރީމް ޓީޗަރުންނަށް ލިބޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
6,1- މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުމުގެ ސިޔާސަތު ސްކޫލް ހިއްސާވާ  ފަރާތްތަކާ ހިއްސާކުރުން,1.1.2.1,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
7,2- ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުމުގެ ސިޔާސަތު ސްކޫލް ހިއްސާވާ  ފަރާތްތަކާ ހިއްސާކުރުން,1.1.2.1,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
8,3- ދަރިވަރުންނާ ހިއްސާކޮށްފައި ވޭ,ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުމުގެ ސިޔާސަތު ސްކޫލް ހިއްސާވާ  ފަރާތްތަކާ ހިއްސާކުރުން,1.1.2.1,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
731,1- މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ރެފަރަލް ޕްރޮސީޖަރ ތައްޔާރުކުރުން,1.1.2.2,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
732,2- ބެލެނިވެރިންނާ އަހުލުވެރިކޮށްފައި ވޭ,ރެފަރަލް ޕްރޮސީޖަރ ތައްޔާރުކުރުން,1.1.2.2,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
