BD,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
432,1- ސްކޫލުން ހަރަކާތްތައް ރޭވުމުގައި ބެލެނިވެރިންގެ ޚިޔާލާއި މަޝްވަރާ ހޯދާ,ސްކޫލުގެ ހަރަކާތްތައް ރޭވުމުގައި ބެލެނިވެރިންގެ އެހީތެރިކަން ހޯދުން,4.1.1.1,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
433,2- ހަރަކާތްތައް ހިންގުމުގައި ބެލެނިވެރިންގެ އެހީތެރިކަން ހޯދާ,ސްކޫލުގެ ހަރަކާތްތައް ރޭވުމުގައި ބެލެނިވެރިންގެ އެހީތެރިކަން ހޯދުން,4.1.1.1,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
434,3- އިތުރު ހަރަކާތްތައް ރޭވުމުގައި ބެލެނިވެރިން ބައިވެރިކުރޭ,ސްކޫލުގެ ހަރަކާތްތައް ރޭވުމުގައި ބެލެނިވެރިންގެ އެހީތެރިކަން ހޯދުން,4.1.1.1,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
435,1- ޤައުމީ މަންހަޖަށް ބެލެނިވެރިން އަހުލުވެރިކުރުވާ,އުނގަންނައިދިނުމުާ ގުޅޭ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1.2,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
436,2- ޓާމަކު 2 ފަހަރު ޕީޓީއެސް މީޓިންގތައް ބާއްވާ ,އުނގަންނައިދިނުމުާ ގުޅޭ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1.2,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
437,3- ދަރިވަރުންގެ ފޮތްތައް ބެލެނިވެރިން ބަލާކަން ކަށަވަރުކުރޭ,އުނގަންނައިދިނުމުާ ގުޅޭ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1.2,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
438,1- އަސާސީ ޤަވާޢިދާ އެއްގޮތަށް ޕީޓީއޭ އެކުލަވައިލާ,ޕީޓީއޭގެ ހަރަކާތްތައް ރާވައި ހިންގުން,4.1.1.3,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
439,"2- ޕީޓީއޭގެ ހަރަކާތްތައް ހިންގާ, ޕީޓީއޭގެ ލިޔެކިއުންތައް އަދާހަމަކޮށް ބަލަހައްޓާ",ޕީޓީއޭގެ ހަރަކާތްތައް ރާވައި ހިންގުން,4.1.1.3,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
440,3- ޕީޓީއޭގެ އަސާސީ ޤަވާޢިދަށް ބެލެނިވެރިން އަހުލުވެރިކުރުވާ,ޕީޓީއޭގެ ހަރަކާތްތައް ރާވައި ހިންގުން,4.1.1.3,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
441,1-  ދަރިވަރުންގެ އަޚުލާޤީ މައްސަލަތައް ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ދަރިވަރުންގެ އަޚުލާޤާއި ތަރުބިއްޔަތާ ގުޅޭ ކަންކަމަށް ބެލެނިވެރިން ހޭލުންތެރިކުރުން ,4.1.1.4,ސްކޫލުގެ ކަންކަމުގައި ބެލެނިވެރިން ބައިވެރިކުރުން,4.1.1,ފެންވަރު 4.1:  ބެލެނިވެރިންގެ ބައިވެރިވުން
