IndicatorCode,ސުވާލުކުރާނެ ފަރާތް/Informant/Interviiewee/stakeholder,ބަލާނެ ލިޔެކިޔުން/Evidence,General Observations,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StarndNo and Strand
1,ސެން އެލްޓީ,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ, ޕީޑީ ރެކޯޑު، ސެޓްފިކެޓު",,1- ޓެކްނިކަލް މުވައްޒަފުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
2,ސެން އެލްޓީ,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ",,2- އިދާރީ މުވައްޒަފުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
3,ސެން އެލްޓީ,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ",,3- ސަޕޯޓް ސްޓާފުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
4,ސެން އެލްޓީ,"- ދުވަހީ ޔައުމިއްޔާ
- ހާޒިރީ",,4- ފަންނީ މުވައްޒަފުން ތަމްރީނުކޮށްފައި ވޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
5,ސެން އެލްޓީ,"- މުދައްރިސުންގެ ސުވާލުކަރުދާހަށްލުމަށް
- އެސްއެމްޓީ މެންބަރުންނާ ސުވާލުކުރުން ",,5- ސެން މުދައްރިސުންގެ ފަންނީ ލަފާ، މެއިންސްޓްރީމް ޓީޗަރުންނަށް ލިބޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނަށް މުވައްޒަފުން އަހުލުވެރިކުރުން/ ތަމްރީނުކުރުން ,1.1.1.1,މީހުން ބިނާކުރުން,1.1.1,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
6,ސެން އެލްޓީ,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,1- މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުމުގެ ސިޔާސަތު ސްކޫލް ހިއްސާވާ  ފަރާތްތަކާ ހިއްސާކުރުން,1.1.2.1,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
7,ސެން އެލްޓީ,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,2- ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުމުގެ ސިޔާސަތު ސްކޫލް ހިއްސާވާ  ފަރާތްތަކާ ހިއްސާކުރުން,1.1.2.1,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
8,ސެން އެލްޓީ,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,3- ދަރިވަރުންނާ ހިއްސާކޮށްފައި ވޭ,ހުރިހައި ދަރިވަރުން ޝާމިލުކުރުމުގެ ސިޔާސަތު ސްކޫލް ހިއްސާވާ  ފަރާތްތަކާ ހިއްސާކުރުން,1.1.2.1,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
731,ސެން އެލްޓީ,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,1- މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ރެފަރަލް ޕްރޮސީޖަރ ތައްޔާރުކުރުން,1.1.2.2,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
732,ސެން އެލްޓީ,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,2- ބެލެނިވެރިންނާ އަހުލުވެރިކޮށްފައި ވޭ,ރެފަރަލް ޕްރޮސީޖަރ ތައްޔާރުކުރުން,1.1.2.2,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
733,ސެން އެލްޓީ,ލިޔެކިޔުން ތަކުން,,3- ރެފަރަލް ޕްރޮސީޖަރ ތަންފީޒުކުރަމުން ދޭ,ރެފަރަލް ޕްރޮސީޖަރ ތައްޔާރުކުރުން,1.1.2.2,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
9,ސެން އެލްޓީ,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,1- ލިޔެކިޔުންތަކަށް މުދައްރިސުން އަހުލުވެރިކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅުންހުރި ލިޔެކިޔުންތަކަށް މުދައްރިސުން އަހުލުވެރިކުރުވުން,1.1.2.3,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
10,ސެން އެލްޓީ,"- ހިއްސާކޮށްފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,2- ލިޔެކިޔުންތައް މުދައްރިސުންނާ ހިއްސާކުރޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅުންހުރި ލިޔެކިޔުންތަކަށް މުދައްރިސުން އަހުލުވެރިކުރުވުން,1.1.2.3,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
11,ސެން އެލްޓީ,- އިންތިޒާމު (ގޫގުލް ޑްރައިވް/ސަރވަރ/ޝެއަރޑް ފޯލްޑަރ),,3- އަހުލުވެރިކުރުވި ލިޔެކިޔުންތައް އެއްތަނަކުން ފެންނާނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅުންހުރި ލިޔެކިޔުންތަކަށް މުދައްރިސުން އަހުލުވެރިކުރުވުން,1.1.2.3,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
12,ސެން އެލްޓީ,"- މަޢުލޫމާތު ފޯރުކޮށްދީފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,1- މުދައްރިސުންނަށް މަޢުލޫމާތު ފޯރުކޮށްދީފައި ވޭ,ސްކޫލް މުޖުތަމަޢުގައި ހިމެނޭ ކަމާ ގުޅުންހުރި އެންމެހައި ފަރާތްތަކަށް އިންޑިވިޖުއަލައިޒްޑް ކަރިކިޔުލަމް ޕްލޭން (އައިސީޕީ) އާ ބެހޭ މަޢުލޫމާތު ފޯރުކޮށްދިނުން,1.1.2.4,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
13,ސެން އެލްޓީ,"- މަޢުލޫމާތު ފޯރުކޮށްދީފައިވާ ގޮތެއް
- ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ",,2-  ޓެކްނިކަލް މުވައްޒަފުންނަށް މަޢުލޫމާތު ފޯރުކޮށްދީފައި ވޭ,ސްކޫލް މުޖުތަމަޢުގައި ހިމެނޭ ކަމާ ގުޅުންހުރި އެންމެހައި ފަރާތްތަކަށް އިންޑިވިޖުއަލައިޒްޑް ކަރިކިޔުލަމް ޕްލޭން (އައިސީޕީ) އާ ބެހޭ މަޢުލޫމާތު ފޯރުކޮށްދިނުން,1.1.2.4,ހޭލުންތެރިކުރުން,1.1.2,ފެންވަރު 1.1: މީހުން ބިނާކުރުމާއި ހޭލުންތެރިކުރުން
