,މަޢުލޫމާތު އެއްކުރުމަށް ޓަކައި އޮބްޒަވޭޝަނުން ބަލާނެ ކަންތައްތައް,,,,,,,,,
IndicatorCode,Score,ސުވާލުކުރާނެ ފަރާތް,ބަލާނެ ލިޔެކިޔުން,General Observation,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
28,1,,,ގޭޓް، ކޮމްޕައުންޑް,1- ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ސްކޫލުގެ ގޭޓާއި ކޮމްޕައުންޑް ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
29,1,,,ކުލާސްރޫމުތައް,2-  ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ކްލާސްރޫމްތައް ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
30,1,,,އެހެނިހެން ތަންތަން (ލައިބުރަރީ/ލެބުފަދަ ތަންތަން),3- ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ ހެދޭ ގޮތަށް، ސްކޫލުގެ އެެހެނިހެން ތަންތަން ތައްޔާރުކޮށްފައި ވޭ,ޖިސްމާނީ ގޮތުން އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ފަސޭހައިން ވަދެނުކުމެ އުޅެވޭ ގޮތް ހެދުން,1.2.1.3,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
303,1,,,ލައިބްރަރީ/ފޮތް ކިޔުމުގެ އިންތިޒާމު ހަމަޖައްސާފައިވާ ތަން ,1- ފޮތްތައް ކްލެސިފައިކޮށްފައި ވޭ/ތަރުތީބުކޮށްފައި ވޭ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
304,1,,,ލައިބްރަރީ/ފޮތް ކިޔުމުގެ އިންތިޒާމު ހަމަޖައްސާފައިވާ ތަން ,2- ފޮތްތައް ކެޓަގަރައިޒްކޮށްފައި ވޭ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
305,1,,,ލައިބްރަރީ/ފޮތް ކިޔުމުގެ އިންތިޒާމު ހަމަޖައްސާފައިވާ ތަން ,3- ލައިބުރަރީ/ތަނެއް ތައްޔާރުކޮށްފައި ވޭ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
306,1,ލައިބުރޭރިއަން,,ފޮތް ދޫކުރާ ސިސްޓަމް,4- ފޮތް ދޫކުރާނެ އިންތިޒާމެއް ހަމަޖައްސައިފައި ވޭ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
309,1,,,ލައިބްރަރީ/ފޮތް ކިޔުމުގެ އިންތިޒާމު ހަމަޖައްސައިފައިވާ ތަން ,7- ފޮތްކިޔުމަށް ޝައުގުވެރިވާ ގޮތަށް ލައިބުރަރީ/ ފޮތްކިޔާ ސަރަހައްދު ތައްޔާރުކުރޭ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
310,1,,,ލައިބްރަރީ/ފޮތް ކިޔުމުގެ އިންތިޒާމު ހަމަޖައްސައިފައިވާ ތަން ,1- ފޮތްތައް ބޭނުންކުރެވޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,ދަރިވަރުންނާއި މުދައްރިސުން ލައިބްރަރީ ފޮތްތައް ބޭނުންކުރުން ,2.4.2.2,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
