,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ޕްރިންސިޕަލް / ޑެޕިއުޓީ ޕްރިންސިޕަލް,,,,,,,
IndicatorCode,Average,ބަލާނެ ލިޔެކިޔުން/Evidence,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
40,1,އެފަދަ ދަރިވަރުންގެ ލިސްޓް/ގައިޑެންސް/ކައުންސެލިން ފޯރުކޮށްދީފައިވާ ކޭސް ނޯޓްސް,3- ސްކޫލުން ވަކިވެދާނެކަމުގެ ބިރު ހީވާ ދަރިވަރުންނަށް ގައިޑެންސް ފޯރުކޮށްދޭ, ޚާއްސަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
69,1,އުސޫލު/މެނުއަލް,3- ޑެޕިއުޓީ ޕްރިންސިޕަލުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވޭ,ފަންނީ މުވައްޒަފުންގެ މަސައްކަތް ބަލާނެ ވަކި އުސޫލެއް ކަނޑައަޅައިފައި ވުން,2.1.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ނިޒާމީ ކަންކަން ކަނޑައެޅުން,2.1.1,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
452,1,ކޮށްފައިވާ މުއާމަލާތްތަކާ ގުޅޭ ލިޔެކިއުންތައް/ފޮޓޯ,1- ސްކޫލުގައި ހިންގާ ހަރަކާތްތައް ހިންގުމުގައި މުޖުތަމަޢުގައި ހިމެނޭ މުއައްސަސާތަކުގެ އެހީތެރިކަން ހޯދާ,ސްކޫލުގެ ހަރަކާތްތަކުގައި މުޖުތަމަޢު ބައިވެރިކުރުން,4.3.1.1,ސްކޫލުގެ ހަރަކާތްތަކުގައި މުޖުތަމަޢު ބައިވެރިކުރުން,4.3.1,ފެންވަރު 4.3: މުޖުތަމަޢުގެ ބައިވެރިވުން
460,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ,1- ތައްޔާރުކުރުމުގައި ހިއްސާވާ ފަރާތްތަކުގެ ޚިޔާލު ހޯދައިފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކުރުން,5.1.2.1,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
461,1,ސްޓްރެޓީޖިކް ޕްލޭން,2- ޙާޞިލުކުރަން ބޭނުންވާ ކަންކަން ސްޓްރެޓީޖިކް ޕްލޭނުގައި ކަނޑައަޅައިފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކުރުން,5.1.2.1,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
462,1,ސްޓްރެޓީޖިކް ޕްލޭން,3- ސްޓްރެޓީޖިކް ޕްލޭން 3 އަހަރު ދުވަހުގެ މުއްދަތަށް ހަދައިފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކުރުން,5.1.2.1,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
463,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ/ޑްރައިވް,1- ސްޓްރެޓީޖިކް ޕްލޭން މުދައްރިސުންނާ ހިއްސާކޮށްފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ހިއްސާކުރުން,5.1.2.2,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
464,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ/ޑްރައިވް,2- ސްޓްރެޓީޖިކް ޕްލޭން އެހެނިހެން މުވައްޒަފުންނާ ހިއްސާކޮށްފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ހިއްސާކުރުން,5.1.2.2,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
465,1,ހާޒިރީ/ޔައުމިއްޔާ/ފޮޓޯ/ޑްރައިވް,3- ސްޓްރެޓީޖިކް ޕްލޭން ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,ސްޓްރެޓީޖިކް ޕްލޭން ހިއްސާކުރުން,5.1.2.2,ސްޓްރެޓީޖިކް ޕްލޭން ތައްޔާރުކޮށް ތަންފީޒުކުރުން,5.1.2,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
